l,cl
2,6.4807419137252994e-09
3,8.182358763881116e-09
4,8.150980508275669e-09
5,7.851213634097682e-09
6,7.346596274382403e-09
7,6.873339010000941e-09
8,6.195921411802729e-09
9,5.809581738379058e-09
10,5.38786329801953e-09
11,4.967168598559582e-09
12,4.542978648193122e-09
13,4.1882600481975315e-09
14,3.967684720925197e-09
15,3.714609864185516e-09
16,3.474954638388185e-09
17,3.252005124419577e-09
18,3.0084671060044594e-09
19,2.8407141405380947e-09
20,2.7037653307530087e-09
21,2.629374454468636e-09
22,2.4350812440076313e-09
23,2.330220814384802e-09
24,2.231983137434925e-09
25,2.086568312870879e-09
26,2.025075636095561e-09
27,1.903023705637584e-09
28,1.8468570325846863e-09
29,1.7898149029026375e-09
30,1.7146829600683417e-09
31,1.6083978364224302e-09
32,1.5863410716828218e-09
33,1.5494322408899367e-09
34,1.464216809489636e-09
35,1.3852382700930301e-09
36,1.329835247461489e-09
37,1.2954566428597027e-09
38,1.243808884687099e-09
39,1.1911953925007865e-09
40,1.1862040574327136e-09
41,1.1558022156270314e-09
42,1.0882471595226074e-09
43,1.0552089313147162e-09
44,1.0313577831749031e-09
45,9.959236579027276e-10
46,9.718326398741276e-10
47,9.445978812159316e-10
48,9.299094465297286e-10
49,9.003495466937174e-10
50,8.633559845853638e-10
51,8.532263086673022e-10
52,8.362881238437915e-10
53,8.031780505531234e-10
54,7.85074414411518e-10
55,7.802834824394367e-10
56,7.42455522099289e-10
57,7.305344838806051e-10
58,7.19727758957593e-10
59,7.045181955401002e-10
60,6.904619510430214e-10
61,6.699160217087779e-10
62,6.547864476080214e-10
63,6.514144550924306e-10
64,6.325474193721277e-10
65,6.236138290040117e-10
66,6.19874271006851e-10
67,5.961692161285115e-10
68,5.836504820271315e-10
69,5.820020395267238e-10
70,5.649801646228544e-10
71,5.41289977265784e-10
72,5.428966341976014e-10
73,5.394684889363759e-10
74,5.247040858395699e-10
75,5.251684620637923e-10
76,5.071048139492857e-10
77,4.993987608642734e-10
78,4.924073866542015e-10
79,4.829273328677982e-10
80,4.79910658749355e-10
81,4.679499729487721e-10
82,4.5851550543352336e-10
83,4.568047506742872e-10
84,4.493425125395186e-10
85,4.39845799345285e-10
86,4.3598108210965e-10
87,4.285270862998059e-10
88,4.351145243124294e-10
89,4.086536686333978e-10
90,4.141348122605093e-10
91,4.042895089100705e-10
92,4.000570304424276e-10
93,3.940495800085791e-10
94,3.88120896282347e-10
95,3.8589571699168943e-10
96,3.8659654759730716e-10
97,3.7088344497264215e-10
98,3.711602833823461e-10
99,3.619426480592413e-10
100,3.584486480199575e-10
101,3.595752780131357e-10
102,3.498885837904345e-10
103,3.515598710275955e-10
104,3.472811595892654e-10
105,3.4010321403286425e-10
106,3.367715800509178e-10
107,3.3212635511353583e-10
108,3.305301629602831e-10
109,3.262531714184396e-10
110,3.2574185341236526e-10
111,3.165673041211402e-10
112,3.168088565893635e-10
113,3.181772206597614e-10
114,3.1097341415397676e-10
115,3.0679382891969735e-10
116,2.9669652178613635e-10
117,2.924254231013532e-10
118,3.0142791084863877e-10
119,2.97505185885316e-10
120,2.957862054450504e-10
121,2.9031280311804074e-10
122,2.899732615416145e-10
123,2.8258919812735e-10
124,2.7952694443282133e-10
125,2.812557701757608e-10
126,2.74441904066814e-10
127,2.756397694051758e-10
128,2.747019571526602e-10
129,2.6739458133994463e-10
130,2.649384214344619e-10
131,2.610763846142436e-10
132,2.667306136183594e-10
133,2.5967116368091494e-10
134,2.574746460542577e-10
135,2.575032078843212e-10
136,2.4763997698637873e-10
137,2.495385038841785e-10
138,2.5260421150074187e-10
139,2.4533444446873676e-10
140,2.449524430829879e-10
141,2.391525767952129e-10
142,2.4021310795260483e-10
143,2.394342058520581e-10
144,2.393036981740632e-10
145,2.316453930492137e-10
146,2.3121871358236744e-10
147,2.3232862202461853e-10
148,2.2999890240167563e-10
149,2.2525499367098475e-10
150,2.27517677846407e-10
151,2.2128958791888924e-10
152,2.2517418288454771e-10
153,2.2193223457401828e-10
154,2.2031180037546518e-10
155,2.1694961797673982e-10
156,2.1709861022270366e-10
157,2.1381922040426755e-10
158,2.1376263738857896e-10
159,2.1019726533733322e-10
160,2.121141833095367e-10
161,2.104273913942731e-10
162,2.0634874794075282e-10
163,2.0289323420587815e-10
164,2.113128564162017e-10
165,2.0539747838115856e-10
166,1.9965750578055718e-10
167,2.0230536116303322e-10
168,2.0281035058769187e-10
169,2.004174489545948e-10
170,1.9562852420813663e-10
171,1.9683658463734345e-10
172,1.927052802019848e-10
173,1.9581453656150406e-10
174,1.9112356119665962e-10
175,1.8995457403186126e-10
176,1.8988324327434912e-10
177,1.9082692462354083e-10
178,1.8864290600546386e-10
179,1.86349031044184e-10
180,1.8512683366687806e-10
181,1.887378724214236e-10
182,1.8793063579466003e-10
183,1.7965687105756258e-10
184,1.810251508357849e-10
185,1.8335894763885032e-10
186,1.7800595319864884e-10
187,1.8007146711755214e-10
188,1.747992359984875e-10
189,1.7754474153744846e-10
190,1.740121187307588e-10
191,1.772868654259622e-10
192,1.7343110706770552e-10
193,1.725262434598563e-10
194,1.717536232644907e-10
195,1.6795410066326789e-10
196,1.6660404134209522e-10
197,1.6701780016331942e-10
198,1.6581207562212542e-10
199,1.6495396658944057e-10
200,1.6495533918302942e-10
201,1.6356282345009338e-10
202,1.640849175874687e-10
203,1.6302307713384936e-10
204,1.6126224492738385e-10
205,1.6246991055855554e-10
206,1.5964087053073948e-10
207,1.5774910026653095e-10
208,1.6019276794710427e-10
209,1.5718736732982277e-10
210,1.5691838975783957e-10
211,1.5544329072343209e-10
212,1.5434277221038432e-10
213,1.5609734260598863e-10
214,1.501406014994018e-10
215,1.5256941335436026e-10
216,1.5226642811652663e-10
217,1.5083666212946203e-10
218,1.5043184417575142e-10
219,1.48977718423947e-10
220,1.4953885875103642e-10
221,1.4933832064088756e-10
222,1.4804711939633945e-10
223,1.4764952479845776e-10
224,1.4675715173010857e-10
225,1.4338102069476067e-10
226,1.4292781706886014e-10
227,1.4439347232177454e-10
228,1.4474380137298008e-10
229,1.4387468060651308e-10
230,1.429615794255927e-10
231,1.4015379492813822e-10
232,1.4079802676314254e-10
233,1.4116414869634527e-10
234,1.4115288957647737e-10
235,1.3741248918118068e-10
236,1.3720224149364916e-10
237,1.3746685433173763e-10
238,1.3833257525063174e-10
239,1.3656146864801956e-10
240,1.3433240581682015e-10
241,1.348267303823922e-10
242,1.3506220701666318e-10
243,1.3161758300259054e-10
244,1.3201511476835363e-10
245,1.333075753039794e-10
246,1.3185462623351077e-10
247,1.2990295172669276e-10
248,1.3082980276497258e-10
249,1.3038788232594034e-10
250,1.305952324333029e-10
251,1.2960926743867606e-10
252,1.2696850399185552e-10
253,1.2768287310168654e-10
254,1.26509988485105e-10
255,1.2791462154625663e-10
256,1.2743114436733453e-10
257,1.2380693798173811e-10
258,1.2569673081657388e-10
259,1.2334204180487211e-10
260,1.225638238926523e-10
261,1.2258654739038046e-10
262,1.2291747496208473e-10
263,1.2237318815160733e-10
264,1.1994088982848918e-10
265,1.2066178125894909e-10
266,1.1918541057394015e-10
267,1.2156442708912814e-10
268,1.1953488135898818e-10
269,1.191054271818734e-10
270,1.2072849135261662e-10
271,1.2041917524177714e-10
272,1.1810269701169073e-10
273,1.1934788083243553e-10
274,1.1672309629340051e-10
275,1.1733763620703543e-10
276,1.1613159407352522e-10
277,1.1640114904826876e-10
278,1.1214630918595181e-10
279,1.140489357998627e-10
280,1.1387914318530476e-10
281,1.1056927741051948e-10
282,1.1364481364005156e-10
283,1.1347829645491048e-10
284,1.1046149293022477e-10
285,1.1371880783717997e-10
286,1.0898864734031007e-10
287,1.1203297221583905e-10
288,1.1123462945412489e-10
289,1.0971100029858719e-10
290,1.0822977565672132e-10
291,1.113299069001037e-10
292,1.0702682657099898e-10
293,1.0840998744964703e-10
294,1.0773901472351266e-10
295,1.0709234674552191e-10
296,1.0715613880034461e-10
297,1.055960608763004e-10
298,1.0560101837452746e-10
299,1.0680969001308781e-10
300,1.0519134051745537e-10
301,1.0544728756662952e-10
302,1.0394746943451956e-10
303,1.0439486164375765e-10
304,1.0579689780601524e-10
305,1.0250135952222264e-10
306,1.0169701737237868e-10
307,1.0326891453176614e-10
308,1.021188245207634e-10
309,1.0305939185958017e-10
310,1.0178484542742724e-10
311,9.835875939657984e-11
312,1.0121839367900218e-10
313,1.0037055601757303e-10
314,1.0018763028927291e-10
315,9.978670537265425e-11
316,1.0105291391863305e-10
317,9.967213454537713e-11
318,9.785789917413501e-11
319,9.866132828997362e-11
320,9.724479452745042e-11
321,9.792597711307274e-11
322,9.755433347777867e-11
323,9.611473098007046e-11
324,9.625124456095387e-11
325,9.653015504654962e-11
326,9.459607963088884e-11
327,9.577803586280242e-11
328,9.541121321314584e-11
329,9.460226429707972e-11
330,9.46989895569836e-11
331,9.365349829546869e-11
332,9.494396473571774e-11
333,9.366632999053424e-11
334,9.268683783832088e-11
335,9.357404081103491e-11
336,9.370270090824883e-11
337,9.135828849882804e-11
338,8.949092272504493e-11
339,9.12955510714609e-11
340,9.082122087078448e-11
341,9.149313564763225e-11
342,9.01896777892356e-11
343,9.055405166579897e-11
344,8.940137382052316e-11
345,8.957499509221887e-11
346,8.984351033940023e-11
347,9.0451033368396e-11
348,8.959795018172452e-11
349,8.683128343455043e-11
350,8.651899526422662e-11
351,8.691830278766409e-11
352,8.796285553784232e-11
353,8.801815604486835e-11
354,8.707107787370523e-11
355,8.711492687530801e-11
356,8.742592083320015e-11
357,8.412219682896435e-11
358,8.59039960042811e-11
359,8.360614616627874e-11
360,8.65162643770371e-11
361,8.43520443565089e-11
362,8.457273967589985e-11
363,8.349147109112374e-11
364,8.3947966740939e-11
365,8.265613014561738e-11
366,8.415771797067749e-11
367,8.270018310232694e-11
368,8.412620633208823e-11
369,8.266636250266018e-11
370,8.152312956588294e-11
371,8.143292534921333e-11
372,8.114921871513083e-11
373,8.144530353828181e-11
374,8.114396929799414e-11
375,8.244283168398683e-11
376,8.092290518531081e-11
377,7.95673727337982e-11
