l,cl
2,3.6535748153432955e-20
3,5.479532096430517e-20
4,6.909929850589112e-20
5,8.046183877979983e-20
6,9.072247242238013e-20
7,9.988376395255534e-20
8,1.0869297694077505e-19
9,1.152995267484536e-19
10,1.184234479685856e-19
11,1.2101287172558217e-19
12,1.2604846091086411e-19
13,1.3040446250337642e-19
14,1.2912059333982855e-19
15,1.3305697100251345e-19
16,1.3209080290295335e-19
17,1.3071818611187517e-19
18,1.3139135655307538e-19
19,1.278315826268284e-19
20,1.264820953878061e-19
21,1.2571603398252595e-19
22,1.2219176617436633e-19
23,1.229642532001308e-19
24,1.2210263636686167e-19
25,1.170284221946621e-19
26,1.148701527555034e-19
27,1.1214093605707859e-19
28,1.1093127078866547e-19
29,1.0649973041356983e-19
30,1.0593233406772356e-19
31,1.0159990146486887e-19
32,9.926994083858999e-20
33,9.639414997724523e-20
34,9.35322030811863e-20
35,9.178374542992831e-20
36,8.948223023784712e-20
37,8.624974854977209e-20
38,8.270931837535237e-20
39,8.02784127739537e-20
40,7.915151771342058e-20
41,7.735567772849015e-20
42,7.469900872126716e-20
43,7.258689240426022e-20
44,7.212813754497442e-20
45,6.994358087880178e-20
46,6.818794528685256e-20
47,6.800381579598315e-20
48,6.599763224538116e-20
49,6.504160243076216e-20
50,6.462088056596974e-20
51,6.15454465957507e-20
52,6.254683359011747e-20
53,5.976059285382865e-20
54,5.875849852232454e-20
55,5.790457161586781e-20
56,5.818408251808392e-20
57,5.727105689870935e-20
58,5.678774858481042e-20
59,5.679890890103423e-20
60,5.530740652505348e-20
61,5.495603339114702e-20
62,5.312440542415329e-20
63,5.430697605093672e-20
64,5.2588903849496223e-20
65,5.207932705325274e-20
66,5.171315143633967e-20
67,5.046628178830748e-20
68,5.014564586260433e-20
69,4.9881301305861587e-20
70,4.9689540975866764e-20
71,4.9405319375524086e-20
72,4.861476891135268e-20
73,4.76696713346379e-20
74,4.673884171581089e-20
75,4.538363617954436e-20
76,4.6104210925551866e-20
77,4.518828446275749e-20
78,4.38427034230513e-20
79,4.3675834987901524e-20
80,4.2676897406691656e-20
81,4.142955517735789e-20
82,4.1464565990556035e-20
83,4.1585136974986596e-20
84,4.0004965569605045e-20
85,4.0044713174274646e-20
86,3.8924550715315813e-20
87,3.7977124367922384e-20
88,3.649869984348453e-20
89,3.738060943494834e-20
90,3.515691606214672e-20
91,3.5198018856571034e-20
92,3.4173168571299356e-20
93,3.362103862566878e-20
94,3.320879711156938e-20
95,3.2344757580811914e-20
96,3.1726907795302887e-20
97,3.1280434337586514e-20
98,3.032673286278051e-20
99,3.006839628500909e-20
100,2.9629256667149565e-20
101,2.968838244189814e-20
102,2.8534008816599373e-20
103,2.873756000412715e-20
104,2.7496921953475557e-20
105,2.733299562093763e-20
106,2.6450261191123837e-20
107,2.589096138196917e-20
108,2.6050864481672355e-20
109,2.5487293510604247e-20
110,2.531322021219772e-20
111,2.5419230298242467e-20
112,2.4668137420114426e-20
113,2.4640303277252745e-20
114,2.3885372812662854e-20
115,2.3695349066624635e-20
116,2.368537590430141e-20
117,2.3596761817869567e-20
118,2.2953170672658507e-20
119,2.2761606674105414e-20
120,2.2864816982186447e-20
121,2.2867567142527936e-20
122,2.2517908619157288e-20
123,2.2716752398113418e-20
124,2.2778146883218763e-20
125,2.2257200288917224e-20
126,2.1824489808875393e-20
127,2.161144382865809e-20
128,2.196299823473608e-20
129,2.1707163358653507e-20
130,2.1463826390083897e-20
131,2.1143177434104226e-20
132,2.1000830870950387e-20
