l,cl
2,1.1216298536948757e-08
3,1.5025665509558425e-08
4,1.6594608522667187e-08
5,1.6742469285319004e-08
6,1.6555843765477468e-08
7,1.589626324817371e-08
8,1.5472757796450754e-08
9,1.4738700844401103e-08
10,1.4041323831431734e-08
11,1.3693384651890998e-08
12,1.2755958917965685e-08
13,1.2094126908266906e-08
14,1.1493704514919096e-08
15,1.0824289135529786e-08
16,1.0258795716924816e-08
17,9.954908041111852e-09
18,9.445149125706356e-09
19,9.064896299493228e-09
20,8.625165302500675e-09
21,8.075319304857126e-09
22,7.80083000485156e-09
23,7.518975965248913e-09
24,7.1805861383760034e-09
25,6.914021842294338e-09
26,6.66584663228564e-09
27,6.293045813279439e-09
28,6.010404108080513e-09
29,5.958336931755258e-09
30,5.69259094682986e-09
31,5.565928601039029e-09
32,5.2517766664737564e-09
33,5.133241659360917e-09
34,4.930398245386503e-09
35,4.801630882378214e-09
36,4.576998223509227e-09
37,4.5156204367510865e-09
38,4.398202505633334e-09
39,4.307005365797066e-09
40,4.220808685232939e-09
41,4.106459599666856e-09
42,3.9086100934509566e-09
43,3.758677034257249e-09
44,3.6968436333827043e-09
45,3.5964115519531145e-09
46,3.494291212366503e-09
47,3.3497690801930136e-09
48,3.311606431877558e-09
49,3.2117470752352697e-09
50,3.135271983508105e-09
51,3.0405115002999646e-09
52,3.0102342195438658e-09
53,2.935985493938225e-09
54,2.890075261679411e-09
55,2.801735862067126e-09
56,2.6879646075831337e-09
57,2.652148934120044e-09
58,2.607946961569993e-09
59,2.521612387096404e-09
60,2.5339007150105615e-09
61,2.4309657304349503e-09
62,2.381917831776162e-09
63,2.314544367697962e-09
64,2.2872170811904276e-09
65,2.186898349393413e-09
66,2.161429211617053e-09
67,2.1777714696297967e-09
68,2.1187305465315274e-09
69,2.074934166560394e-09
70,2.0130345713217717e-09
71,2.0252652048749125e-09
72,1.963509081837783e-09
73,1.8874456800423714e-09
74,1.87272470150599e-09
75,1.8737781867890525e-09
76,1.8118416633905974e-09
77,1.7508208977351568e-09
78,1.7463127810631363e-09
79,1.7193298719024626e-09
80,1.6683964570680324e-09
81,1.6723459311648986e-09
82,1.6090884258022698e-09
83,1.5874809654233112e-09
84,1.5830857841076765e-09
85,1.580506654104236e-09
86,1.5229326761447924e-09
87,1.506318261403695e-09
88,1.481984932424876e-09
89,1.4457494638012756e-09
90,1.4408408842417112e-09
91,1.421772125374722e-09
92,1.3835376767960468e-09
93,1.3692637001631591e-09
94,1.3568386225108886e-09
95,1.3569290009791867e-09
96,1.3321571002677565e-09
97,1.2981759536583642e-09
98,1.2990954988517755e-09
99,1.2909097059355097e-09
100,1.2535662696256135e-09
101,1.2328009672729273e-09
102,1.2166565860764575e-09
103,1.1840728087948236e-09
104,1.1889584493659304e-09
105,1.1571614057117915e-09
106,1.1714563540781171e-09
107,1.1315432005147688e-09
108,1.1423895771748343e-09
109,1.1128254966783016e-09
110,1.1272677080902454e-09
111,1.0854511778750964e-09
112,1.0868540761392513e-09
113,1.0695967107081534e-09
114,1.048034339093678e-09
115,1.0518342128634526e-09
116,1.0200865132360485e-09
117,1.0122363681907076e-09
118,9.95093224903531e-10
119,1.0030213060584765e-09
120,9.692647544421196e-10
121,9.655308485303593e-10
122,9.656676003435857e-10
123,9.53424593409751e-10
124,9.380456736906349e-10
125,9.248537554396482e-10
126,9.428428534177681e-10
127,9.128486482319706e-10
128,9.238974300778465e-10
129,8.992917765248192e-10
130,9.015144973267463e-10
131,8.865260997685858e-10
132,8.715703921153669e-10
133,8.572560952309163e-10
134,8.519288795509694e-10
135,8.38324048817545e-10
136,8.37435312028401e-10
137,8.326815563099273e-10
138,8.270671567965225e-10
139,8.166662432502377e-10
140,8.04627745560214e-10
141,8.022734339879654e-10
142,7.966358053913922e-10
143,7.984010279517786e-10
144,7.7220135105222e-10
145,7.711538165548902e-10
146,7.744564086054975e-10
147,7.648064883208951e-10
148,7.591965574456368e-10
149,7.516719241275065e-10
150,7.277459330916318e-10
151,7.391240699021012e-10
152,7.350186030612561e-10
153,7.200925576413816e-10
154,7.10048077985937e-10
155,7.006637110891324e-10
156,7.003897792201794e-10
157,6.877249295500698e-10
158,7.035502164804762e-10
159,6.826953094681184e-10
160,6.842183651585364e-10
161,6.795785198638912e-10
162,6.83981671871701e-10
163,6.71537465375685e-10
164,6.658616105833388e-10
165,6.658334694051897e-10
166,6.590116339477101e-10
167,6.573843314444665e-10
168,6.40154735495744e-10
169,6.351937808831739e-10
170,6.408042734488717e-10
171,6.342520344372952e-10
172,6.289564094060179e-10
173,6.239838879751868e-10
174,6.1678563858189e-10
175,6.125290955386073e-10
176,6.084718685313682e-10
177,6.118355903306791e-10
178,5.882831435912837e-10
