l,cl
2,5.442376677142401e-08
3,7.398979674580506e-08
4,8.883766916625307e-08
5,9.880645621714626e-08
6,1.0188289108400067e-07
7,1.035819984122335e-07
8,1.037075769046012e-07
9,1.0384368910449885e-07
10,9.894033512851337e-08
11,9.883898479660993e-08
12,9.35171558918095e-08
13,9.046359979299122e-08
14,8.51901896233044e-08
15,8.24043632623861e-08
16,7.887776215230275e-08
17,7.464595070905292e-08
18,7.161795862948006e-08
19,6.852672729081318e-08
20,6.524273267107462e-08
21,6.165120256785365e-08
22,5.978475167196868e-08
23,5.741567200514406e-08
24,5.477654936499948e-08
25,5.201819632478912e-08
26,5.228926205063857e-08
27,4.8547175130066704e-08
28,4.80196142458599e-08
29,4.61657562863632e-08
30,4.515232376614114e-08
31,4.4045916239486075e-08
32,4.3032236291177184e-08
33,4.1972519284721294e-08
34,3.9654043090143836e-08
35,3.957460423868696e-08
36,3.717961922193453e-08
37,3.6682830864141825e-08
38,3.5991548153621195e-08
39,3.515237382483862e-08
40,3.3643614252204725e-08
41,3.240115679379851e-08
42,3.2125733153453574e-08
43,3.048593159880116e-08
44,3.089430615928295e-08
45,2.954961154325904e-08
46,2.862555161639106e-08
47,2.739322605647612e-08
48,2.6902754575257533e-08
49,2.6211799436438063e-08
50,2.4961348550581884e-08
51,2.4463329039392254e-08
52,2.4059187034955373e-08
53,2.357069862255532e-08
54,2.2512760073578074e-08
55,2.1939805975527025e-08
56,2.1527056561446915e-08
57,2.124683489520921e-08
58,2.0329103319134634e-08
59,2.00772305107074e-08
60,1.9263495476315287e-08
61,1.927020811725184e-08
62,1.8728020589556862e-08
63,1.8410942200442704e-08
64,1.8388926683025756e-08
65,1.730073421823187e-08
66,1.7403241790591798e-08
67,1.680928449614569e-08
68,1.6479795160604448e-08
69,1.6222911256670343e-08
70,1.5925039787005034e-08
71,1.5527247545333725e-08
72,1.5005710277988238e-08
73,1.4909135630897305e-08
74,1.4499598819776362e-08
75,1.4637955595518297e-08
76,1.4027024751526343e-08
77,1.3993591130276795e-08
78,1.3696681630966348e-08
79,1.3323921708853194e-08
80,1.339316461752444e-08
81,1.2834134418562698e-08
82,1.2886663497035855e-08
83,1.2580129905220894e-08
84,1.2290439965682248e-08
85,1.2324513208775334e-08
86,1.197743378693595e-08
87,1.187228984527879e-08
88,1.1676389161808482e-08
89,1.110978804075561e-08
90,1.1200443937123864e-08
91,1.1017574716957264e-08
92,1.0935445017535287e-08
93,1.0706493256814446e-08
94,1.0637591059309728e-08
95,1.0364684809677035e-08
96,1.0247523329015432e-08
97,1.0174871967692855e-08
98,9.823178131005626e-09
99,9.852073586436273e-09
100,9.724033935977649e-09
101,9.500234534149868e-09
102,9.50472678347723e-09
103,9.45459743831225e-09
104,9.253225785115379e-09
105,9.070495367355048e-09
106,8.845036125502378e-09
107,8.730604263374233e-09
108,8.595569788216847e-09
109,8.57068148559193e-09
110,8.339130238877153e-09
111,8.397667268627466e-09
112,8.233006913359593e-09
113,8.207151885956621e-09
114,8.105375490190461e-09
115,7.82457898847334e-09
116,7.796625431798057e-09
117,7.586292209685596e-09
118,7.73120212265473e-09
119,7.546871539921512e-09
120,7.485051114061202e-09
121,7.346163402064388e-09
122,7.252543233592011e-09
123,7.12827186694367e-09
124,7.190303360380889e-09
125,7.187020167474442e-09
126,7.109499864861554e-09
127,6.836804523485932e-09
128,6.831976087300241e-09
129,6.776531561433988e-09
130,6.736643439521691e-09
131,6.565386329055023e-09
132,6.476560360162198e-09
133,6.4541117780313265e-09
134,6.322383421785555e-09
135,6.3338028971744154e-09
136,6.372784680751099e-09
137,6.312711674103317e-09
138,6.236129657071126e-09
139,6.154449389739481e-09
140,6.0527126902880426e-09
141,5.956501052531081e-09
142,5.999952448141284e-09
143,5.993955620312789e-09
144,5.797411968259764e-09
145,5.789392909039123e-09
146,5.725055168298418e-09
147,5.66836715222416e-09
148,5.575751883456062e-09
149,5.5831064813401565e-09
150,5.5270167477424306e-09
151,5.4555788091366515e-09
152,5.456871675975421e-09
153,5.406237659190557e-09
154,5.385217673709594e-09
155,5.1455530137239455e-09
156,5.233690453773255e-09
157,5.1671906866829915e-09
158,5.110661088107205e-09
159,5.180397706845173e-09
160,5.112773216676125e-09
161,5.109336002245394e-09
162,5.0337132786706675e-09
163,4.966213264540558e-09
164,4.852519455931278e-09
165,4.8444831887240935e-09
166,4.8653678534864685e-09
167,4.885431000738873e-09
168,4.781563782114502e-09
169,4.690511087671913e-09
170,4.767483064906538e-09
171,4.681495720917508e-09
172,4.6376984926537095e-09
173,4.608920461585889e-09
174,4.462971379459321e-09
175,4.443302842185366e-09
176,4.4803061352483135e-09
177,4.480285253434679e-09
178,4.505999442264816e-09
179,4.4072472343046205e-09
180,4.379909953522889e-09
181,4.326449591369788e-09
182,4.2672108767483886e-09
183,4.2410494461080695e-09
184,4.2914628746238546e-09
185,4.269063234260446e-09
186,4.203433475290478e-09
187,4.168995826073732e-09
188,4.165650758058673e-09
189,4.100541542933399e-09
190,4.112436569512846e-09
191,4.118675771495019e-09
192,4.071623464576271e-09
193,4.010680688123352e-09
194,3.962785900010888e-09
195,3.97449980831969e-09
196,3.896715152831965e-09
197,3.885302403297667e-09
198,3.885712174109441e-09
199,3.792602666049015e-09
200,3.845509447000271e-09
201,3.738190330801527e-09
202,3.839569661970977e-09
203,3.737347792120965e-09
204,3.6812100453798434e-09
205,3.742798101923838e-09
206,3.669911772953017e-09
207,3.7067216493901784e-09
208,3.5706732420021816e-09
209,3.637936961722283e-09
210,3.665802921141555e-09
211,3.542045048782544e-09
212,3.575222290874382e-09
213,3.501079700220379e-09
214,3.5272043126409457e-09
215,3.5063278655090003e-09
216,3.469372172767561e-09
217,3.53273065771693e-09
218,3.430631333390877e-09
219,3.4299401317358098e-09
220,3.4115796300664356e-09
221,3.3911814550021364e-09
222,3.372066540958442e-09
223,3.361068214450895e-09
224,3.3264963541461648e-09
225,3.3926832395320274e-09
226,3.3391030826072926e-09
227,3.313867967339851e-09
228,3.3406878711386073e-09
229,3.250780787260149e-09
230,3.189073425230439e-09
231,3.2610626414575965e-09
232,3.210967283823622e-09
233,3.186491532017593e-09
234,3.2255702494574023e-09
235,3.1845380488329905e-09
236,3.1486752058015177e-09
237,3.1929707814997915e-09
238,3.1367539684551857e-09
239,3.1111313437243492e-09
240,3.1061683367413297e-09
241,3.0799563884125552e-09
242,3.0529909176207194e-09
243,3.047499910154204e-09
244,2.997511620212049e-09
245,3.06301680144275e-09
246,3.037601077911449e-09
247,2.9484910573890637e-09
248,3.0154636195288493e-09
