l,cl
2,8.043538375739814e-09
3,1.0249098147207362e-08
4,1.0706234510662633e-08
5,1.0656926143047876e-08
6,1.0053410356426227e-08
7,9.459106823354098e-09
8,8.732920335675857e-09
9,8.280372760804488e-09
10,7.770230628190787e-09
11,7.291307180557777e-09
12,6.759873730664407e-09
13,6.239142145277484e-09
14,5.835526444811747e-09
15,5.498643300496713e-09
16,5.139791188876246e-09
17,4.920404072671664e-09
18,4.6320034436718284e-09
19,4.275439789692566e-09
20,4.106316510395959e-09
21,3.850796087856822e-09
22,3.742537334168308e-09
23,3.500597723293688e-09
24,3.395755050664884e-09
25,3.2561250505963543e-09
26,3.0052962434757035e-09
27,2.97559602976102e-09
28,2.90479397026456e-09
29,2.7164946951529555e-09
30,2.6283833806350672e-09
31,2.566897418597813e-09
32,2.4314817870247507e-09
33,2.324932373609183e-09
34,2.2494009483642264e-09
35,2.211839671701151e-09
36,2.1414644359806145e-09
37,2.0556794363336535e-09
38,1.9957636916788613e-09
39,1.9104960341132506e-09
40,1.8073495448705482e-09
41,1.7919967093365158e-09
42,1.6950307866707154e-09
43,1.6553147616278867e-09
44,1.6421777774132779e-09
45,1.586870936283086e-09
46,1.5458605420625716e-09
47,1.5194597578850642e-09
48,1.4514395436455485e-09
49,1.4254859404370094e-09
50,1.3632550450596195e-09
51,1.3202187315664588e-09
52,1.2757219066491863e-09
53,1.2622956560301507e-09
54,1.256360886738629e-09
55,1.2102065064139064e-09
56,1.1771918830622318e-09
57,1.1493728847510402e-09
58,1.1332596654684923e-09
59,1.128043644749043e-09
60,1.0878008733351898e-09
61,1.0487720090285609e-09
62,1.0226981109319253e-09
63,1.0028382406900804e-09
64,9.768303463796413e-10
65,9.790093979612526e-10
66,9.46335458833011e-10
67,9.338215810093216e-10
68,9.096679316378201e-10
69,9.167941066625833e-10
70,8.750387933044845e-10
71,8.731757099668552e-10
72,8.442173994118206e-10
73,8.310655415182938e-10
74,8.205165124702435e-10
75,8.199160954716827e-10
76,7.909898206817453e-10
77,7.772868980664983e-10
78,7.54496858158987e-10
79,7.528032355018939e-10
80,7.455129707321133e-10
81,7.466927175068087e-10
82,7.203373985385332e-10
83,6.943942412049649e-10
84,6.989460851283618e-10
85,6.727614693462552e-10
86,6.657402591558665e-10
87,6.703476404801833e-10
88,6.625933282614668e-10
89,6.440430109411018e-10
90,6.417794805952386e-10
91,6.276306948698816e-10
92,6.166919469490874e-10
93,6.141064794488655e-10
94,6.109322248435558e-10
95,5.983651837104736e-10
96,5.860584049096016e-10
97,5.752810853997046e-10
98,5.7790270767892e-10
