l,cl
2,8.457986879693353e-14
3,1.25380205827513e-13
4,1.6679044942369265e-13
5,1.979973256604332e-13
6,2.254554594069669e-13
7,2.485246321854897e-13
8,2.7345285440947613e-13
9,2.936861983749319e-13
10,3.099808913835153e-13
11,3.2564176369502645e-13
12,3.3884394891984713e-13
13,3.460825939989871e-13
14,3.539666748689002e-13
15,3.608439712758125e-13
16,3.7036461359920947e-13
17,3.7658052006278793e-13
18,3.810161737812519e-13
19,3.805186798602267e-13
20,3.8232876162393484e-13
21,3.8337332194284594e-13
22,3.8672003445998156e-13
23,3.84625256957876e-13
24,3.9073604791705673e-13
25,3.8033851332991355e-13
26,3.7864158845833917e-13
27,3.8037561074986857e-13
28,3.6970716177179386e-13
29,3.6146201244277016e-13
30,3.676312439596374e-13
31,3.557974533259469e-13
32,3.486262123335209e-13
33,3.4415427210274396e-13
34,3.3888742157388905e-13
35,3.3392787682915595e-13
36,3.3297651616453933e-13
37,3.1795278442489e-13
38,3.1690143470167713e-13
39,3.1107755882463613e-13
40,3.0614391719142723e-13
41,2.9672185872170396e-13
42,2.949078273732559e-13
43,2.838475149070097e-13
44,2.762822882202686e-13
45,2.7251871843848153e-13
46,2.681178516716058e-13
47,2.603458080488739e-13
48,2.580755867435707e-13
49,2.5009691199263364e-13
50,2.485269509588986e-13
51,2.385113618259304e-13
52,2.340279829124669e-13
53,2.325955895014019e-13
54,2.301746741947327e-13
55,2.2439887568741162e-13
56,2.2152664892419108e-13
57,2.1384924706048698e-13
58,2.1579467337632655e-13
59,2.0868441754456692e-13
60,2.0763282884464667e-13
61,2.0126420339616261e-13
62,1.9410163100647804e-13
63,1.977649683111889e-13
64,1.9297178767323086e-13
65,1.9038428648640206e-13
66,1.8906482618639537e-13
67,1.858956244652389e-13
68,1.8296677707467034e-13
69,1.7941476766629325e-13
70,1.7661293700155696e-13
71,1.7588038077990887e-13
72,1.7461947572580203e-13
73,1.7366307199898396e-13
74,1.7138650167451884e-13
75,1.6802066699972117e-13
76,1.6846002751777513e-13
