l,cl
159,1.1803262188492411e-06
160,1.1677333833364168e-06
161,1.1379552726442587e-06
162,1.1200494308545436e-06
163,1.112415748818824e-06
164,1.1092302315480233e-06
165,1.0981721718949167e-06
166,1.090589879713289e-06
167,1.0642612584456859e-06
168,1.0518653792707836e-06
169,1.0378465775053923e-06
170,1.0328864325574553e-06
171,1.0254235500605587e-06
172,1.0424199697458945e-06
173,1.0110434346466262e-06
174,9.958909237132382e-07
175,9.956068760370575e-07
176,9.792591841277879e-07
177,9.662996835217399e-07
178,9.862191685653882e-07
179,9.561206562998717e-07
180,9.254641928752211e-07
181,9.335227318428866e-07
182,9.26319885077464e-07
183,9.226938348125251e-07
184,9.006264838899683e-07
185,9.005158095868597e-07
186,9.004751769303456e-07
187,8.815811225207445e-07
188,8.647753314583656e-07
189,8.570574368455279e-07
190,8.617697577695963e-07
191,8.601180392292218e-07
192,8.406884637090801e-07
193,8.126536164650976e-07
194,8.120713069681387e-07
195,8.231796762043187e-07
196,8.045005847364203e-07
197,7.989416109499333e-07
198,7.97124785492906e-07
199,7.938203856933052e-07
200,7.794591201026201e-07
201,7.662773722525976e-07
202,7.625061621187404e-07
203,7.577721927273941e-07
204,7.653140735015094e-07
205,7.466957938770018e-07
206,7.46101546828944e-07
207,7.417212758973394e-07
208,7.268766860884218e-07
209,7.272582046947458e-07
210,7.297022086596707e-07
211,7.128839402944674e-07
212,7.224748511173932e-07
213,7.082525026761728e-07
214,7.049315301277286e-07
215,6.992414967777699e-07
216,7.021109813356978e-07
217,7.005995524869636e-07
218,6.930303543835483e-07
219,6.87103574429911e-07
220,6.832016470786002e-07
221,6.783883895036005e-07
222,6.765692298497874e-07
223,6.624781407067727e-07
224,6.692370009523032e-07
225,6.645370307548542e-07
226,6.635614338565528e-07
227,6.646422265338716e-07
228,6.596536468813632e-07
229,6.531669397996731e-07
230,6.614994294040115e-07
231,6.387063438265836e-07
232,6.348349041363971e-07
233,6.475422377591476e-07
234,6.256295587832864e-07
235,6.374184873325888e-07
236,6.251554732544518e-07
237,6.304025639559637e-07
238,6.333247653659668e-07
239,6.222151714185331e-07
240,6.223314488689942e-07
241,6.32583576624328e-07
242,6.129987908201597e-07
243,6.227061203818641e-07
244,6.03038530622199e-07
245,6.125392367382418e-07
246,6.13268079418315e-07
247,6.098923725722206e-07
248,5.939578043094082e-07
249,6.08073343669032e-07
250,6.080471494848317e-07
251,5.816500688158795e-07
252,6.085971094371265e-07
253,5.754238991702982e-07
254,5.849614693209803e-07
255,5.783750303848998e-07
256,5.81541952403333e-07
257,5.762700705063012e-07
258,5.731767474564986e-07
259,5.763192169868476e-07
260,5.678714316771498e-07
261,5.648084428924908e-07
262,5.605917570000371e-07
263,5.693962292821288e-07
264,5.616179016578356e-07
265,5.598836881826198e-07
266,5.472141205165725e-07
267,5.48301806909357e-07
268,5.439118403032343e-07
269,5.527916426632309e-07
270,5.478327490652828e-07
271,5.461490383605955e-07
272,5.394820959495273e-07
273,5.343688103339597e-07
274,5.30727417483566e-07
275,5.197744079231806e-07
276,5.185747068514072e-07
277,5.184977437349469e-07
278,5.241710117830253e-07
279,5.207613056676094e-07
280,5.126310651849481e-07
281,5.180976726704242e-07
282,5.076303021632571e-07
283,5.094536611820784e-07
284,5.019718897424796e-07
285,4.94624342313231e-07
286,5.004687617905876e-07
287,4.919249434958978e-07
288,4.870897884186335e-07
289,4.825626310013032e-07
290,4.865174552751784e-07
291,4.84204559624027e-07
292,4.79494736697909e-07
293,4.7254126506517014e-07
294,4.7427664275329475e-07
295,4.708864382527966e-07
296,4.719547122901337e-07
297,4.6165002501366835e-07
298,4.6685483681138434e-07
299,4.6537119256434425e-07
300,4.5474915924643205e-07
301,4.499264640552082e-07
302,4.502069252960943e-07
303,4.350159334929112e-07
304,4.4398951451332296e-07
305,4.358528313027348e-07
306,4.4087196593203586e-07
307,4.3531411134971606e-07
308,4.2679200407807885e-07
309,4.334685639028442e-07
310,4.2526147513441655e-07
311,4.2153428412966885e-07
312,4.220135540366975e-07
313,4.1765272982978956e-07
314,4.123168684359974e-07
315,4.0972731649481394e-07
316,4.132737746722045e-07
317,4.130539317348577e-07
